keywords,label,word_label_count,freq
Middle East,loc,260.0,260
Missile Defense Agency,org,178.0,178
Mojave,loc,99.0,102
Mojave Air and Space Port,loc,72.0,105
Momentus,com,581.0,598
Moon,loc,258.0,269
Moon Express,com,133.0,143
Musk,com,488.0,488
Mynaric,com,130.0,130
NASA,org,22514.0,22514
NASA Headquarters,org,142.0,142
NATO,org,109.0,109
NC3,term,94.0,107
NDAA,term,157.0,382
NGA,org,384.0,384
NGSO,term,116.0,183
NOAA,org,1352.0,1352
NRO,org,810.0,810
NSF,org,152.0,152
NSSL,org,208.0,254
NanoAvionics,com,181.0,185
NanoRacks,com,131.0,140
Nanoracks,loc,1.0,121
National Academies,org,171.0,172
National Defense Authorization Act,term,319.0,319
National Oceanic and Atmospheric Administration,org,296.0,296
National Reconnaissance Office,org,424.0,424
National Space Council,org,591.0,591
Navy,org,241.0,241
Nelson,com,117.0,156
Netherlands,loc,100.0,100
Neutron,satellite,76.0,117
New Glenn,satellite,214.0,382
New Mexico,loc,362.0,362
New Shepard,rocket,67.0,430
New Zealand,loc,503.0,503
NewSpace,term,91.0,124
No,term,101.0,105
North America,loc,178.0,179
North Korea,loc,146.0,146
Northrop,com,228.0,228
Northrop Grumman,com,1574.0,1574
Norway,loc,120.0,120
Not,term,107.0,107
O3b,com,46.0,163
OCX,com,31.0,127
OHB,term,4.0,204
OPIR,term,80.0,121
Office of Space Commerce,org,226.0,226
OmegA,com,72.0,151
OneSpace,com,114.0,114
OneWeb,com,2558.0,2822
OneWeb Satellites,satellite,27.0,103
Orbcomm,com,152.0,152
Orbex,com,131.0,131
Orbit Fab,com,164.0,165
Orbital ATK,com,614.0,614
Orion,term,65.0,980
Outer Space Treaty,term,141.0,141
Ovzon,com,108.0,116
PLD Space,com,111.0,113
PSLV,rocket,95.0,179
Pacific Ocean,loc,102.0,102
Pence,term,111.0,136
Pentagon,org,2000.0,2047
Perseverance,com,46.0,134
Photon,com,24.0,112
Planet,com,996.0,1004
Proton,rocket,162.0,317
Psyche,com,25.0,128
RF,term,153.0,154
RSGS,term,79.0,179
Raytheon,com,377.0,377
Redwire,com,240.0,241
Relativity,com,260.0,275
Relativity Space,com,137.0,139
Republican,loc,14.0,120
Rocket Lab,com,1636.0,1636
Roscosmos,com,766.0,841
Russia,loc,2325.0,2325
Russian,loc,1805.0,1808
Russians,loc,119.0,119
S-band,term,107.0,113
SAR,term,573.0,593
SBIR,org,41.0,149
SBIRS,term,69.0,268
SDA,org,1592.0,1602
SES,com,1530.0,1542
SLS,satellite,1142.0,1482
SMC,org,633.0,639
SNC,org,8.0,178
SOFIA,org,133.0,237
SPAC,com,197.0,555
SPACs,term,161.0,214
SSA,term,96.0,354
SSC,org,99.0,105
SSL,com,379.0,415
SSO,term,98.0,110
SSTL,com,110.0,140
STM,term,113.0,257
San Francisco,loc,100.0,102
Satellogic,com,228.0,232
Saturn,com,69.0,147
Scotland,loc,101.0,101
Secure World Foundation,org,128.0,128
Securities and Exchange Commission,org,122.0,122
Senate,org,1220.0,1221
Senate Armed Services Committee,org,169.0,169
Senate Commerce Committee,org,179.0,179
Shanahan,com,108.0,110
Sierra Space,com,177.0,179
Silicon Valley,loc,190.0,191
Smith,com,99.0,108
SoftBank,com,136.0,136
South Korea,loc,441.0,441
Soviet Union,loc,104.0,105
Soyuz,rocket,310.0,1153
SpEC,org,84.0,111
Space,term,181.0,202
Space Adventures,com,97.0,101
Space Command,org,816.0,816
Space Corps,org,179.0,182
Space Development Agency,org,677.0,677
Space Force,org,5450.0,5463
Space Foundation,org,113.0,113
Space Launch System,rocket,536.0,553
Space Systems Command,org,315.0,315
Space Systems Loral,com,181.0,181
